description,dataType,calories,protein_g,carbs_g,fat_g,fiber_g,Cluster,meal_type
"100% JUICE, ORANGE",Branded,58.0,0.0,14.2,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% JUICE, ORANGE",Branded,75.0,1.25,17.5,0.0,1.2,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% JUICE, ORANGE",Branded,75.0,0.83,17.5,0.0,1.2,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% JUICE, ORANGE",Branded,71.0,0.83,17.9,0.0,1.2,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% JUICE, ORANGE",Branded,75.0,0.42,17.5,0.0,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% JUICE, ORANGE",Branded,75.0,1.25,17.5,0.0,1.2,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% JUICE, ORANGE",Branded,75.0,1.25,18.8,0.0,1.2,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% JUICE, ORANGE ",Branded,71.0,0.42,17.9,0.0,1.2,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% JUICE, ORANGE AND MANGO",Branded,71.0,0.42,17.9,0.0,1.2,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% JUICE, ORANGE MANGO",Branded,71.0,0.42,17.9,0.0,1.2,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% JUICE, ORANGE PINEAPPLE",Branded,71.0,0.42,17.9,0.0,1.2,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% JUICE, ORANGE TANGERINE",Branded,80.0,0.42,18.6,0.0,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% JUICE, ORANGE TANGERINE",Branded,75.0,0.42,17.5,0.0,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% JUICE, ORANGE, ORANGE",Branded,71.0,0.42,17.9,0.0,1.2,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% JUICE, ORANGE, PASSIONFRUIT",Branded,75.0,0.42,17.5,0.0,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% JUICE, ORANGE, PINEAPPLE",Branded,75.0,1.25,17.5,0.0,1.2,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% JUICE, PASSION DRAGONFRUIT",Branded,75.0,0.83,17.5,0.0,1.2,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% JUICE, PEACH APPLE",Branded,75.0,0.42,17.5,0.0,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% JUICE, PEACH APPLE",Branded,75.0,0.83,17.5,0.0,1.2,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% JUICE, PINE - APPLE MINT",Branded,183.0,1.67,45.0,0.0,0.8,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"100% JUICE, PINEAPPLE",Branded,46.0,0.83,10.8,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% JUICE, PINEAPPLE",Branded,48.0,0.85,11.0,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% JUICE, PINEAPPLE",Branded,36.0,0.8,8.8,0.0,3.2,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% JUICE, PINEAPPLE",Branded,33.0,0.83,8.33,0.0,2.5,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% JUICE, PINEAPPLE",Branded,33.0,0.83,8.33,0.0,2.5,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% JUICE, PINEAPPLE & BANANA",Branded,33.0,0.83,8.33,0.0,2.5,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% JUICE, PINEAPPLE & MANGO",Branded,33.0,0.83,8.33,0.0,2.5,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% JUICE, PINEAPPLE COCONUT",Branded,50.0,0.0,11.7,0.0,0.4,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% JUICE, PINEAPPLE ORANGE",Branded,26.0,0.0,7.22,0.0,1.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% JUICE, PINEAPPLE ORANGE BANANA",Branded,51.0,0.0,12.7,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% JUICE, PINEAPPLE, COCONUT",Branded,61.0,0.34,14.5,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% JUICE, PINEAPPLE, PASSION FRUIT & CARROT",Branded,0.0,0.0,0.0,0.0,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% JUICE, POMEGRANATE",Branded,0.0,0.0,0.0,0.0,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% JUICE, POMEGRANATE",Branded,0.0,0.0,0.0,0.0,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% JUICE, POMEGRANATE",Branded,0.0,0.0,0.0,0.0,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% JUICE, POMEGRANATE",Branded,0.0,0.0,0.0,0.0,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% JUICE, POMEGRANATE",Branded,0.0,0.0,0.0,0.0,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% JUICE, POMEGRANATE",Branded,418.0,5.45,30.9,14.6,0.8,0.0,Carb-Dense Balanced Meals — Ideal for Weight Gain
"100% JUICE, PRUNE",Branded,283.0,15.0,1.77,23.9,0.0,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"100% JUICE, PRUNE",Branded,259.0,17.0,0.0,20.5,0.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"100% JUICE, PRUNE",Branded,310.0,15.0,0.0,27.4,0.0,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"100% JUICE, PRUNE",Branded,248.0,17.7,0.0,19.5,0.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"100% JUICE, PRUNE",Branded,329.0,26.0,0.0,24.7,0.0,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"100% JUICE, PRUNE",Branded,329.0,26.0,0.0,24.7,0.0,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"100% JUICE, PRUNE",Branded,327.0,25.7,0.0,23.9,0.0,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"100% JUICE, PRUNE",Branded,329.0,25.9,0.0,23.5,0.0,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"100% JUICE, PRUNE",Branded,252.0,18.5,0.0,19.9,0.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"100% JUICE, PRUNE",Branded,329.0,26.0,0.0,24.7,0.0,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"100% JUICE, PRUNE",Branded,329.0,26.0,0.0,24.7,0.0,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"100% JUICE, PUNCH",Branded,312.0,15.6,0.0,28.1,0.0,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"100% JUICE, PURE APPLE",Branded,312.0,15.6,0.0,28.1,0.0,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"100% JUICE, RIO RED GRAPEFRUIT",Branded,312.0,15.6,0.0,28.1,0.0,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"100% JUICE, RUBY RED GRAPEFRUIT",Branded,312.0,15.6,0.0,28.1,0.0,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"100% JUICE, RUBY RED GRAPEFRUIT",Branded,312.0,15.6,0.0,28.1,0.0,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"100% JUICE, SPICED CIDER",Branded,239.0,20.4,0.88,17.7,0.9,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"100% JUICE, SPICY VEGETABLE",Branded,312.0,15.6,0.0,28.1,0.0,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"100% JUICE, TANGERINE",Branded,286.0,0.0,81.0,0.0,0.0,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"100% JUICE, TOMATO",Branded,286.0,0.0,81.0,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"100% JUICE, TOMATO",Branded,0.0,0.0,0.0,0.0,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% JUICE, TOMATO",Branded,375.0,0.0,100.0,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"100% JUICE, TROPICAL",Branded,286.0,0.0,81.0,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"100% JUICE, TROPICAL BLEND",Branded,305.0,0.0,81.0,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"100% JUICE, UNSWEETENED CRANBERRY",Branded,286.0,0.0,81.0,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"100% JUICE, UNSWEETENED PINEAPPLE ",Branded,283.0,3.33,10.0,26.7,0.0,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"100% JUICE, VALENCIA ORANGE",Branded,21.0,0.0,5.0,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% JUICE, VEGETABLE",Branded,23.0,0.0,5.77,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% JUICE, WHITE GRAPE",Branded,21.0,0.0,5.0,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% JUICE, WHITE GRAPE",Branded,21.0,0.0,5.83,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% JUICE, WHITE GRAPE",Branded,18.0,0.0,4.55,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% JUICE, WHITE GRAPE",Branded,13.0,0.0,3.39,0.0,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% JUICE, WHITE GRAPE",Branded,12.0,0.0,2.92,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% JUICE, WHITE GRAPE MANGO",Branded,26.0,0.0,6.4,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% JUICE, WHITE GRAPE RASPBERRY",Branded,19.0,0.0,4.84,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% JUICE, WHITE GRAPEFRUIT",Branded,21.0,0.0,5.0,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% JUICE, WHITE GRAPEFRUIT",Branded,18.0,6.0,12.364999999999998,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% JUICE, WHITE GRAPEFRUIT",Branded,22.0,0.0,5.54,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% JUICE, WHITE SANGRIA",Branded,21.0,0.0,5.42,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% JUST CRANBERRY PREMIUM CRANBERRY JUICE FROM CONCENTRATE, JUST CRANBERRY",Branded,21.0,0.0,5.42,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% JUST GRAPEFRUIT PREMIUM ORGANIC GRAPEFRUIT JUICE, JUST GRAPEFRUIT",Branded,21.0,0.0,5.0,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% JUST POMEGRANATE PREMIUM ORGANIC POMEGRANATE JUICE FROM CONCENTRATE, JUST POMEGRANATE",Branded,21.0,0.0,5.15,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
100% KEY LIME JUICE,Branded,25.0,0.0,6.25,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% KOURA OLIVE OIL, EXTRA VIRGIN",Branded,21.0,0.0,5.0,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
100% LACTOSE FREE 1% LOWFAT MILK,Branded,13.0,0.0,3.39,0.0,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
100% LACTOSE FREE FAT FREE MILK,Branded,21.0,0.0,5.0,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
100% LACTOSE FREE LOWFAT 2% MILK,Branded,21.0,0.0,5.0,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
100% LACTOSE FREE MILK,Branded,21.0,0.0,5.42,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% LACTOSE FREE MILK, CHOCOLATE MILK",Branded,21.0,0.0,5.0,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
100% LACTOSE FREE REDUCED FAT MILK,Branded,21.0,0.0,5.83,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
100% LACTOSE FREE REDUCED FAT MILK,Branded,360.0,0.0,86.7,0.0,0.0,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% LACTOSE FREE WHOLE MILK,Branded,21.0,0.0,5.15,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% LEMON COLD PRESSED JUICE, LEMON",Branded,43.0,0.0,10.0,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
100% LEMON JUICE,Branded,375.0,0.0,87.5,4.42,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% LEMON JUICE,Branded,350.0,0.0,90.0,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% LEMON JUICE,Branded,375.0,0.0,87.5,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"100% LEMON JUICE FROM CONCENTRATE, LEMON",Branded,350.0,0.0,90.0,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"100% LEMON JUICE FROM CONCENTRATE, LEMON",Branded,333.0,0.0,88.9,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"100% LEMON JUICE FROM CONCENTRATE, LEMON",Branded,350.0,0.0,90.0,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"100% LEMON JUICE FROM CONCENTRATE, LEMON",Branded,375.0,0.0,87.5,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"100% LEMON JUICE FROM CONCENTRATE, LEMON",Branded,350.0,0.0,90.0,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"100% LEMON JUICE FROM CONCENTRATE, LEMON",Branded,375.0,0.0,87.5,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"100% LEMON JUICE FROM CONCENTRATE, LEMON",Branded,350.0,0.0,90.0,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"100% LEMON JUICE FROM CONCENTRATE, LEMON",Branded,375.0,0.0,87.5,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"100% LEMON JUICE FROM CONCENTRATE, LEMON",Branded,375.0,0.0,87.5,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"100% LEMON JUICE FROM CONCENTRATE, LEMON",Branded,375.0,0.0,87.5,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"100% LEMON JUICE FROM CONCENTRATE, LEMON",Branded,375.0,0.0,87.5,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"100% LEMON JUICE, LEMON",Branded,29.0,0.0,7.5,0.0,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% LEMON JUICE, LEMON",Branded,25.0,0.0,13.9,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% LEMON JUICE, LEMON",Branded,305.0,0.0,75.0,0.0,5.0,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"100% LEMON JUICE, LEMON",Branded,339.0,12.5,73.2,0.89,3.6,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"100% LEMON JUICE, LEMON",Branded,310.0,0.0,81.0,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"100% LEMON JUICE, LEMON",Branded,46.0,0.83,10.8,0.0,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% LEMON JUICE, LEMON",Branded,46.0,0.72,10.9,0.0,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% LEMON JUICE, LEMON",Branded,46.0,0.72,10.9,0.0,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% LEMON LIME SPARKLING JUICE, LEMON LIME",Branded,46.0,0.83,11.2,0.0,0.4,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% LEMON RECONSTITUTED JUICE, LEMON",Branded,46.0,0.83,10.8,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% LEMON SQUEEZED JUICE, LEMON",Branded,33.0,0.0,7.5,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% LIGHT WHOLE WHEAT, LIGHT",Branded,53.0,0.0,12.4,0.0,1.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
100% LIME JUICE,Branded,0.0,0.0,0.0,0.0,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
100% LIME JUICE,Branded,0.0,0.0,0.0,0.0,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
100% LIME JUICE,Branded,38.0,0.42,9.17,0.0,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% LIME JUICE FROM CONCENTRATE, LIME",Branded,286.0,0.0,81.0,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"100% LIME JUICE FROM CONCENTRATE, LIME",Branded,286.0,0.0,81.0,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"100% LIME JUICE FROM CONCENTRATE, LIME",Branded,375.0,0.0,100.0,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"100% LIME JUICE FROM CONCENTRATE, LIME",Branded,375.0,0.0,100.0,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"100% LIME JUICE FROM CONCENTRATE, LIME",Branded,375.0,0.0,100.0,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"100% LIME JUICE, LIME",Branded,375.0,0.0,100.0,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"100% LIME JUICE, LIME",Branded,58.0,0.42,14.2,0.0,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% LIME JUICE, LIME",Branded,58.0,0.42,14.2,0.0,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% LIME JUICE, LIME",Branded,62.0,0.42,15.4,0.0,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% LIME JUICE, LIME",Branded,68.0,0.0,16.9,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% LIME JUICE, LIME",Branded,58.0,0.42,14.2,0.0,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% LIME JUICE, LIME",Branded,58.0,0.42,14.2,0.0,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% LIME JUICE, LIME",Branded,113.24,6.0,12.364999999999998,4.42,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
100% LIQUID EGG WHITE,Branded,257.0,18.6,0.0,20.4,0.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
100% LIQUID EGG WHITES,Branded,304.0,15.2,0.0,26.8,0.0,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% LIQUID EGG WHITES,Branded,212.0,18.6,0.0,15.0,0.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
100% LIQUID EGG WHITES,Branded,250.0,17.0,0.0,19.6,0.8,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
100% LIQUID EGG WHITES,Branded,179.0,19.6,0.0,9.82,0.8,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
100% LIQUID EGG WHITES,Branded,250.0,17.0,0.0,19.6,0.8,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
100% LIQUID EGG WHITES,Branded,304.0,17.0,0.0,26.8,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% LIQUID EGG WHITES,Branded,312.0,16.1,0.0,26.8,0.0,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% LIQUID EGG WHITES,Branded,250.0,17.0,0.0,19.6,0.8,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
100% LIQUID EGG WHITES,Branded,250.0,17.0,0.0,19.6,0.8,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
100% LIQUID EGG WHITES,Branded,298.0,17.2,0.0,25.2,0.0,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% LIQUID EGG WHITES,Branded,295.0,25.9,0.0,25.0,0.0,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% LIQUID EGG WHITES,Branded,250.0,17.9,0.0,18.8,0.8,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
100% LIQUID EGG WHITES,Branded,250.0,17.0,0.0,19.6,0.8,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
100% LIQUID EGG WHITES,Branded,295.0,16.1,0.0,25.0,0.0,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% LIQUID EGG WHITES,Branded,146.0,20.5,0.0,7.28,0.8,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
100% LIQUID EGG WHITES,Branded,295.0,16.1,0.0,25.0,0.0,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% LIQUID EGG WHITES,Branded,214.0,18.8,0.0,15.2,0.8,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
100% LIQUID EGG WHITES,Branded,214.0,18.8,0.0,15.2,0.8,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
100% LIQUID EGG WHITES,Branded,286.0,0.0,81.0,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% LIQUID EGG WHITES,Branded,286.0,0.0,81.0,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% LIQUID EGG WHITES,Branded,286.0,0.0,81.0,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% LIQUID EGG WHITES,Branded,286.0,0.0,81.0,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% LIQUID EGG WHITES,Branded,286.0,0.0,81.0,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% LIQUID EGG WHITES,Branded,286.0,0.0,81.0,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% LIQUID EGG WHITES,Branded,286.0,0.0,81.0,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% LIQUID EGG WHITES,Branded,286.0,0.0,81.0,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% LIQUID EGG WHITES,Branded,286.0,0.0,81.0,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% LIQUID EGG WHITES,Branded,305.0,0.48,81.0,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% LIQUID EGG WHITES,Branded,305.0,0.0,81.0,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% LIQUID EGG WHITES,Branded,286.0,0.0,81.0,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% LIQUID EGG WHITES,Branded,286.0,0.0,81.0,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% LIQUID EGG WHITES,Branded,286.0,0.0,81.0,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% LIQUID EGG WHITES,Branded,286.0,0.0,81.0,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% LIQUID EGG WHITES,Branded,286.0,0.0,81.0,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% LIQUID EGG WHITES,Branded,286.0,0.0,81.0,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% LIQUID EGG WHITES,Branded,286.0,0.0,81.0,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% LIQUID EGG WHITES,Branded,286.0,0.0,81.0,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% LIQUID EGG WHITES,Branded,286.0,0.0,81.0,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% LIQUID EGG WHITES,Branded,286.0,0.0,81.0,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% LIQUID EGG WHITES,Branded,324.0,0.0,81.0,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% LIQUID EGG WHITES,Branded,286.0,0.0,81.0,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% LIQUID EGG WHITES,Branded,286.0,0.0,81.0,0.0,0.0,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% LIQUID EGG WHITES,Branded,286.0,0.0,81.0,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% LIQUID EGG WHITES,Branded,286.0,0.0,81.0,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% LIQUID EGG WHITES MADE FROM REAL EGGS,Branded,286.0,0.0,81.0,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% LIQUID EGG WHITES PRODUCT,Branded,286.0,0.0,81.0,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% LIQUID EGG WHITES PRODUCT,Branded,286.0,0.0,81.0,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"100% LIQUID EGG WHITES, PASTEURIZED EGG PRODUCT",Branded,286.0,0.0,81.0,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% LIQUID SIMPLY EGG WHITES,Branded,286.0,0.0,81.0,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% LIQUID WHOLE EGG,Branded,286.0,0.0,81.0,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"100% LITCHI FRUIT JUICE BLEND, LITCHI",Branded,286.0,0.0,81.0,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% LOUISIANA LONG GRAIN BROWN RICE,Branded,286.0,0.0,81.0,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% LOUISIANA LONG GRAIN BROWN RICE,Branded,286.0,0.0,81.0,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% LOUISIANA POPCORN LONG GRAIN RICE,Branded,286.0,0.0,81.0,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"100% LOW PULP ORANGE JUICE, ORANGE",Branded,286.0,0.0,81.0,0.0,0.0,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"100% MANGO FRUIT JUICE BLEND, MANGO",Branded,286.0,0.0,81.0,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
